ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000039496	Cdnf	protein_coding
ENSMUSG00000053192	Mllt11	protein_coding
ENSMUSG00000026640	Plxna2	protein_coding
ENSMUSG00000083935	Gm12294	processed_pseudogene
ENSMUSG00000106276	RP23-123C15.2	processed_pseudogene
ENSMUSG00000098056	Gm8100	processed_pseudogene
ENSMUSG00000097836	Gm26903	antisense
ENSMUSG00000103217	Gm38287	antisense
ENSMUSG00000066672	Olfr417	protein_coding
ENSMUSG00000105525	RP24-340K5.4	processed_pseudogene
ENSMUSG00000096439	Gm4897	unprocessed_pseudogene
ENSMUSG00000086501	4930597A21Rik	lincRNA
ENSMUSG00000083338	Gm12475	processed_pseudogene
ENSMUSG00000100984	Gm28357	lincRNA
ENSMUSG00000102115	Gm28766	unprocessed_pseudogene
ENSMUSG00000105011	RP23-105B8.2	TEC
ENSMUSG00000081627	Gm13158	processed_pseudogene
ENSMUSG00000085645	Hoxb5os	antisense
ENSMUSG00000097991	Gm7656	processed_pseudogene
ENSMUSG00000100664	6030442E23Rik	lincRNA
ENSMUSG00000020649	Rrm2	protein_coding
ENSMUSG00000053024	Cntn2	protein_coding
ENSMUSG00000106103	RP24-317M4.1	TEC
ENSMUSG00000082925	Gm13135	processed_pseudogene
ENSMUSG00000015093	Clic3	protein_coding
ENSMUSG00000081967	Gm14017	processed_pseudogene
ENSMUSG00000087032	Gm13874	lincRNA
ENSMUSG00000022388	Ttll8	protein_coding
ENSMUSG00000084407	Gm14018	unprocessed_pseudogene
ENSMUSG00000086957	Gm13869	lincRNA
ENSMUSG00000084385	Gm13873	processed_pseudogene
ENSMUSG00000078253	Krtap16-1	protein_coding
ENSMUSG00000076653	Ighv7-2	IG_V_gene
ENSMUSG00000030562	Nox4	protein_coding
ENSMUSG00000083580	Rpsa-ps3	processed_pseudogene
ENSMUSG00000103046	Gm37309	TEC
ENSMUSG00000061311	Rag1	protein_coding
ENSMUSG00000102338	Gm37236	TEC
ENSMUSG00000093523	Vmn1r16	protein_coding
ENSMUSG00000040471	Ggt6	protein_coding
ENSMUSG00000076478	Trbv23	TR_V_gene
ENSMUSG00000082591	Gm11558	processed_pseudogene
ENSMUSG00000029581	Fscn1	protein_coding
ENSMUSG00000101291	Gm29194	lincRNA
ENSMUSG00000085774	Gm13055	antisense
ENSMUSG00000103098	Gm37559	processed_pseudogene
ENSMUSG00000026078	Pdcl3	protein_coding
ENSMUSG00000104089	Gm38274	processed_pseudogene
ENSMUSG00000085143	Gm11520	antisense
ENSMUSG00000039782	Cpeb2	protein_coding
ENSMUSG00000092466	Vmn1r-ps57	unprocessed_pseudogene
ENSMUSG00000102102	Gm29159	processed_pseudogene
ENSMUSG00000083292	Gm12010	processed_pseudogene
ENSMUSG00000076733	Ighv8-13	IG_V_gene
ENSMUSG00000090865	Gm17074	processed_pseudogene
ENSMUSG00000096401	Gm21811	unprocessed_pseudogene
ENSMUSG00000091416	Gm6327	processed_pseudogene
ENSMUSG00000099761	Gm29158	lincRNA
ENSMUSG00000099915	Gm21191	unprocessed_pseudogene
ENSMUSG00000083645	Gm14086	unprocessed_pseudogene
ENSMUSG00000076875	Traj58	TR_J_gene
ENSMUSG00000027175	Tcp11l1	protein_coding
ENSMUSG00000067147	Rpl7a-ps11	processed_pseudogene
ENSMUSG00000084072	Gm11285	unprocessed_pseudogene
ENSMUSG00000093411	Vmn1r17	protein_coding
ENSMUSG00000031927	1700012B09Rik	protein_coding
ENSMUSG00000094504	Gm5294	protein_coding
ENSMUSG00000037235	Mxd4	protein_coding
ENSMUSG00000083948	Gm7158	processed_pseudogene
ENSMUSG00000029528	Pxn	protein_coding
ENSMUSG00000020069	Hnrnph3	protein_coding
ENSMUSG00000099974	Bcl2a1d	protein_coding
ENSMUSG00000037872	Ackr1	protein_coding
ENSMUSG00000059562	Ccdc154	protein_coding
ENSMUSG00000035864	Syt1	protein_coding
ENSMUSG00000027219	Slc28a2	protein_coding
ENSMUSG00000037563	Rps16	protein_coding
ENSMUSG00000095557	Gm3415	protein_coding
ENSMUSG00000078249	Hmga1-rs1	protein_coding
ENSMUSG00000105061	RP23-452K12.18	processed_pseudogene
ENSMUSG00000019789	Hey2	protein_coding
ENSMUSG00000091382	Vmn1r18	protein_coding
ENSMUSG00000069962	Gm5356	processed_pseudogene
ENSMUSG00000081993	Gm8475	processed_pseudogene
ENSMUSG00000073705	Apitd1	protein_coding
ENSMUSG00000026564	Dusp27	protein_coding
ENSMUSG00000080907	4930455H04Rik	protein_coding
ENSMUSG00000093938	Evi2b	protein_coding
